Pressure_kbar,volume,Equilibrium_c_a,Fitted_Energy_eV
0,239.34,1.419358,-253.409406
10,238.07,1.419813,-253.402318
20,236.83,1.420272,-253.387745
30,235.68,1.42068,-253.366953
40,234.45,1.421206,-253.337396
50,233.3,1.421693,-253.302256
60,232.18,1.422173,-253.260971
70,231.14,1.422619,-253.216279
80,230.1,1.423111,-253.16544
90,229.0,1.423672,-253.104346
100,227.99,1.424182,-253.041937
110,227.08,1.424653,-252.98032
120,225.96,1.425141,-252.897518
130,225.07,1.425685,-252.825397
140,224.32,1.426028,-252.760883
150,223.23,1.426705,-252.659939
