pressure,volume,opt_c_a,min_energy,fit_pressures
0,239.34,1.419358,-253.409406,0.05694991745337895
10,238.07,1.419813,-253.402318,10.036400505555372
20,236.83,1.420272,-253.387745,20.058357691451388
30,235.68,1.42068,-253.366953,29.605710787121815
40,234.45,1.421206,-253.337396,40.09418876002415
50,233.3,1.421693,-253.302256,50.16669327293504
60,232.18,1.422173,-253.260971,60.23060790738328
70,231.14,1.422619,-253.216279,69.806189583264
80,230.1,1.423111,-253.16544,79.60944499409598
90,229.0,1.423672,-253.104346,90.2323665581426
100,227.99,1.424182,-253.041937,100.22202197309512
110,227.08,1.424653,-252.98032,109.42071836868658
120,225.96,1.425141,-252.897518,121.00636393053942
130,225.07,1.425685,-252.825397,130.42561434475985
140,224.32,1.426028,-252.760883,138.51279653004863
150,223.23,1.426705,-252.659939,150.51557970367756
